Material Code,,Unit,Quantity,Weight,PO Number,IBD Number
21007486,ARGAN OIL-PK,Carton,2,2,4519131474,
65101785,CARBOPOL 980 A01,Carton,100,100,4519131474,
65105430,HELIANTHUS ANNUS (SUNFLOWER) SEED OIL,Carton,5,5,4519131474,
65101811,KATHON CG PK,Bags,200,200,4519131474,
65105438,PERFUME SATURNE P,Cans,70,70,4519131474,
65105437,POLYOX N - 60 K,Carton,30,30,4519131474,
65107546,TREHALOSE A01,Carton,20,20,4519131474,
21084201,ACRYLATES - ACULYN 28 (20%) A01,Drum,215,215,4519131474,
32232331,DMDM HYDANTOIN 0.09% FF,Drum,200,200,4519131474,
67120379,GUAR HYDROXYPROPYLTRIMONIUM CHLRIDE 93%,Bags,200,200,4519131474,
67860510,WHITE RUBY 1008AF,Cans,20,20,4519131474,
67829384,FRAGRANCE GREEN TROPICANA BV,Drum,200,200,4519131474,
65102047,ANULLEX BHT (FOOD GRADE),Cans,25,25,4519130293,
65102030,DISSOLVINE NA,Bags,50,50,4519130293,
21007505,EGDS/TEGIN EGDS(NAGASSE/DEGUSSA/GOLDSH,Bags,175,175,4519130293,
65102092,MYRISTIC ACID C-14FLAKES,Bags,1700,1700,4519130293,
65102093,PALMITIC ACID C-16FLAKES,Bags,550,550,4519130293,
65102096,POTASSIUM CHLORIDE / KCL,Bags,1400,1400,4519130293,
65102054,POTASSIUM HYDROXIDE,Cans,1000,1000,4519130293,
65102054,POTASSIUM HYDROXIDE,Cans,100,100,4519130293,
21045878,HPMC HIGH OHPO 12000,buckets,64,64,4519130293,
67231769,PHENYOXYETHANOL+PIROCTONEOLAMINE+PG,Carton,200,200,4519130293,
