Material Code,,Unit,Quantity,Weight,PO Number,IBD Number
65101728,LAURIC FLAKES 99%,Bags,1500,1500,4520119062,
65101728,LAURIC FLAKES 99%,Bags,1550,1550,4520119062,
21111087,SILVER OXIDE SOLUTION A01 0.15%,Drums,200,200,4520119062,
