Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65102490,LIFEBUOY 72GM STIFFENER,Drums,238.4,238.4,4520133470,
65102490,LIFEBUOY 72GM STIFFENER,Cans,320,320,4520133470,
65102490,LIFEBUOY 72GM STIFFENER,Cans,640,640,4520133470,
65103065,LUX/LIFEBUOY WHITE SELFADHESIVE TAPE,Cans,54,54,4520133470,
68187196,WRAPPER LB BAR TOTAL 72G BIG CORE,Bags,197.928,197.928,4520133470,
68187196,WRAPPER LB BAR TOTAL 72G BIG CORE,Cartons,440,440,4520133470,
68187196,WRAPPER LB BAR TOTAL 72G BIG CORE,Bags,385,385,4520133470,
68187210,WRAPPER LB TOTAL ARYA 146G BIG CORE,Cans,320.81,320.81,4520133470,
68187210,WRAPPER LB TOTAL ARYA 146G BIG CORE,Cans,86.244,86.244,4520133470,
68348189,STIFENER LUX BAR S L JASMINE 72X175G,Drums,163.8,163.8,4520133470,
21111087,SILVER OXIDE SOLUTION A01 0.15%,Cans,400,400,4520133470,
65101728,LAURIC FLAKES 99%,Cans,6000,6000,4520133470,
67734237,FRAG SMILE AND CARE BAR BB 414498 M,,180,180,4520133470,
68357151,BRAHMANA LILIAL FREE (SOAP),,3420,3420,4520148301,
