Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
67012585,SLM 9810 M5,IBC Tanks,950,950,4523364948,
65111044,CITRIC ACID MONOHYDRATE,Bags,25,25,4523364948,
65101870,CAUSTIC SODA FLAKES97 % +/- 1,Bags,50,50,4523364948,
65105439,DC 949 (35%),Drums,200,200,4523364948,
65101799,DISSOLVINE NA2DI SODIUM EDTA (PURE/AR),Bags,25,25,4523364948,
68138067,EUPERLAN KE 4776(EGDS + NA BEN),Drums,400,400,4523364948,
65107547,GLUCONOLACTONE,Bags,25,25,4523364948,
65105430,HELIANTHUS ANNUS (SUNFLOWER) SEED OIL,Cans,25,25,4523364948,
65101811,KATHON CG PK,Cans,25,25,4523364948,
65101775,L-LYSINE MONO-HYDROCHLORIDE,Bags,25,25,4523364948,
65105438,PERFUME SATURNE P,Drums,180,180,4523364948,
67120379,GUAR HYDROXYPROPYLTRIMONIUM CHLRIDE 93%,Bags,75,75,4523364948,
21084201,ACRYLATES - ACULYN 28 (20%) A01,Drums,215,215,4523364948,
