Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101728,LAURIC FLAKES 99%,Bags,800,800,4522008483,
65102019,TINOPAL CBS X,Bags,25,25,4522008483,
65102028,TITANIUM DIOXIDE (TIONA,Cans,375,375,4522008483,
21107047,ACTIVESILK ESSENTIAL,Drums,7,7,4522008483,
68561538,FRAG HER MAJESTY TS BL,Drums,1080,1080,4522008483,
68528158,LUX SC BAR WHITE108X100G WRAPPER,Pallets,854.979,854.979,4522008483,
68140645,LUX STIFFENER 110G,Pallets,840.000,840.000,4522008483,
68742238,OUTER LUX 100G - REV DMNSN,Bundles,7.800,7.800,4522008483,
