Material Code,,Unit,Quantity,Weight,PO Number,IBD Number
68138067,EUPERLAN KE 4776(EGDS + NA BEN),Drums,1000,1000,4520731841,
67012580,CE 1788 POE / SLM 630 M5,Drums,450,450,4520731841,
67012585,SLM 9810 M5,Bags,350,350,4520731841,
21045881,CARINA UN 286708 BIAD,Drums,360,360,4520735869,
68357151,BRAHMANA LILIAL FREE (SOAP),Drums,360,360,4520735869,
65102092,MYRISTIC ACID C-14FLAKES,Bags,3000,3000,4520735869,
65102103,SUNFLOWER OLEIC OILREFINED-A1,Drums,190,190,4520735869,
67231769,PHENYOXYETHANOL+PIROCTONEOLAMINE+PG,Drums,200,200,4520735869,
