Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
68528163,LUX SC BAR WHITE 108X140G WRAPPER,Pallets,541.53,541.53,4522212295,
68528163,LUX SC BAR WHITE 108X140G WRAPPER,Pallets,1349.454,1349.454,4522212295,
68528163,LUX SC BAR WHITE 108X140G WRAPPER,Pallets,275.628,275.628,4522212295,
68528163,LUX SC BAR WHITE 108X140G WRAPPER,Pallets,417.541,417.541,4522212295,
68809420,OUTER LUX135G,Bundles,0.5,0.5,4522212295,
21112588,LUX CHANEL STIFFENER 145G,Pallets,520,520,4522212295,
67533572,LIFEBUOY 72G OUTER,Bundles,4,4,4522212295,
