Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101728,LAURIC FLAKES 99%,Bags,675,675,4522328382,
65102028,TITANIUM DIOXIDE (TIONA,Bags,400,400,4522328382,
21107047,ACTIVESILK ESSENTIAL,Cans,2,2,4522328382,
68561538,Frag HER Majesty,Drums,1800,1800,4522328382,
68528152,LUX 175G WRAPPER WHITE,Pallets,260,260,4522328382,
68689878,LUX 175G WRAPPER PINK,Pallets,120,120,4522328382,
68348189,Stiffener 175 gm,Pallets,400,400,4522328382,
68348188,Outer 175 gm,Bundles,1.8,1.8,4522328382,
65103065,Lux/LB white tape,ROL,24,24,4522328382,
