Material Code,,Unit,Quantity,Weight,PO Number,IBD Number
65105439,DC 949 (35%),Drums,200,200,4521334884,
65107547,GLUCONOLACTONE,Bags,75,75,4521334884,
65102045,GLYCRINE CP,Drums,250,250,4521334884,
65105430,HELIANTHUS ANNUS (SUNFLOWER) SEED OIL,Cans,3,3,4521334884,
65101735,JAGUAR C 17 / AD ( NHANCE BF 17 ),Bags,25,25,4521334884,
65105438,PERFUME SATURNE P,Drums,200,200,4521334884,
65105437,POLYOX N - 60 K,Cartons,20,20,4521334884,
65107546,TREHALOSE A01,Cans,6,6,4521334884,
65105433,ZINC GLUCONATE PK,Bags,2,2,4521334884,
21084201,ACRYLATES - ACULYN 28 (20%) A01,Cartons,40,40,4521334884,
67120379,GUAR HYDROXYPROPYLTRIMONIUM CHLRIDE 93%,Bags,50,50,4521334884,
65102072,TIMIRON MP – 115,Cartons,50,50,4521334884,
21045878,HPMC HIGH OHPO 12000,Drums,48,48,4521346003,
21111087,SILVER OXIDE SOLUTION A01 0.15%,Drums,200,200,4521346003,
65102043,BRIQUEST ADPA - 60A(DEQUEST 2010),Drums,290,290,4521346003,
