Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
67012585,SLM 9810 M5,IBC Tanks,200,200,4522731709,
21007485,COCONUT OIL-PK,Cans,2,2,4522731709,
65102045,GLYCRINE CP,Drums,200,200,4522731709,
65102097,OPULYN 301,Cans,105,105,4522731709,
65105438,PERFUME SATURNE P,Drums,180,180,4522731709,
65105437,POLYOX N - 60 K,Cartons,25,25,4522731709,
65110795,REFINED SALT,Bags,200,200,4522731709,
67120379,GUAR HYDROXYPROPYLTRIMONIUM CHLRIDE 93%,Bags,200,200,4522731709,
67052740,SUNSILK SHAMPOO 90ML SEPARATOR,Bundles,1.2,1.2,4522731709,
67053896,LIFEBUOY SHAMPOO 100ML SEPARATOR,Bundles,1.2,1.2,4522731709,
