Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101728,LAURIC FLAKES 99%,Bags,800,800,4520326255,
65102019,TINOPAL CBS X,Cartons,50,50,4520326255,
65102028,TITANIUM DIOXIDE (TIONA,Bags,750,750,4520326255,
21107047,ACTIVESILK ESSENTIAL,Cans,20,20,4520326255,
68561538,FRAG HER MAJESTY TS BL,Drums,1440,1440,4520326255,
68556802,FRAG BEAUTIFULLY SP LF 474652,Drums,360,360,4520326255,
68348189,STIFENER LUX BAR S L JASMINE 72X175G,Pallets,260,260,4520326255,
65103065,LUX/LIFEBUOY WHITE SELFADHESIVE TAPE,ROL,18,18,4520326255,
65103065,LUX/LIFEBUOY WHITE SELFADHESIVE TAPE,ROL,12,12,4520326255,
