Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101728,LAURIC FLAKES 99%,Bags,300,300,4522362298,
65102028,TITANIUM DIOXIDE (TIONA,Bags,150,150,4522362298,
68528156,LUX SC BAR PINK 108X140G WRAPPER,Pallets,220.6,220.6,4522362298,
68811824,LUX 135G W/O GRAMMAGE OUTER,Bundles,2.2,2.2,4522362298,
68811825,LUX 70G  W/O GRAMMAGE OUTER,Bundles,9.584,9.584,4522362298,
68811821,LUX 50G W/O GRAMMAGE OUTER,Bundles,6.5,6.5,4522362298,
67533568,LIFEBUOY 146G OUTER,Bundles,5.12,5.12,4522362298,
65102490,LIFEBUOY 72GM STIFFENER,Pallets,400,400,4522362298,
68660273,WRAPPER LB BAR TOTAL AR1 72G,Pallets,253,253,4522362298,
