Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101728,LAURIC FLAKES 99%,Bags,300,300,4522875798,
65102019,TINOPAL CBS X,Cartons,20,20,4522875798,
65102028,TITANIUM DIOXIDE (TIONA,Bags,275,275,4522875798,
68561538,Frag HER Majesty,Drums,540,540,4522875798,
68556802,Frag. Beautifully SP LF 474652,Drums,360,360,4522875798,
68140646,Stiffener 70 gm,Pallets,300,300,4522875798,
68528152,LUX 175G WRAPPER WHITE,Pallets,254,254,4522875798,
68689878,LUX 175G WRAPPER PINK,Pallets,120,120,4522875798,
