Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65105431,CLIMBAZOLE PK,Cans,1,1,4521510263,
65105439,DC 949 (35%),Drums,200,200,4521510263,
68138067,EUPERLAN KE 4776(EGDS + NA BEN),IBC Tank,1000,1000,4521510263,
65107547,GLUCONOLACTONE,Bags,50,50,4521510263,
65105430,HELIANTHUS ANNUS (SUNFLOWER) SEED OIL,Cans,1,1,4521510263,
65107549,SODIUM SULFATE,Bags,30,30,4521510263,
21084201,ACRYLATES - ACULYN 28 (20%) A01,Drums,215,215,4521510263,
67120379,GUAR HYDROXYPROPYLTRIMONIUM CHLRIDE 93%,Bags,50,50,4521510263,
65102072,TIMIRON MP – 115,Cartons,5,5,4521510263,
