Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
67012585,SLM 9810 M5,IBC Tanks,200,200,4522714060,
65101870,CAUSTIC SODA FLAKES97 % +/- 1,Bags,100,100,4522714060,
65105431,CLIMBAZOLE PK,Cans,3,3,4522714060,
65105430,HELIANTHUS ANNUS (SUNFLOWER) SEED OIL,Cans,5,5,4522714060,
65101735,JAGUAR C 17 / AD ( NHANCE BF 17 ),Bags,50,50,4522714060,
65105438,PERFUME SATURNE P,Drums,180,180,4522714060,
65105433,ZINC GLUCONATE PK,Cans,15,15,4522714060,
65102072,TIMIRON MP – 115,Cartons,100,100,4522714060,
67594388,DOVE HFR LABLD BTL 175ML,Cartons,85,85,4522714061,
67587772,DOVE HFR CAP 175ML,Cartons,85,85,4522714061,
68202609,DOVE 175ML CERMEX OUTER,Bundles,4,4,4522714061,
