Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101756,TALCUM POWDER,Bags,2000,2000,4519053136,
21045876,FRAGRANCE BRAHAMANA UN 286238 GB,Drums,2160,2160,4519053136,
21045876,FRAGRANCE BRAHAMANA UN 286238 GB,Drums,180,180,4519053136,
65102075,COSMENYL CARMINE FB 01(CI 12490),Buckets,90,90,4519053136,
65105409,FLEXONYL YELW G100-INCL 11680 DISPERSION,Buckets,30,30,4519053136,
21111087,SILVER OXIDE SOLUTION A01 0.15%,Drums,400,400,4519053136,
65101728,LAURIC FLAKES 99%,Bags,2000,2000,4519053136,
65102019,TINOPAL CBS X,Carton,20,20,4519053136,
65102028,TITANIUM DIOXIDE (TIONA,Bags,525,525,4519053136,
21107047,ACTIVESILK ESSENTIAL,Cans,20,20,4519053136,
67044048,FRAG PAREENITI LUXE 169840 IA,Drums,2160,2160,4519053136,
68187196,WRAPPER LB BAR TOTAL 72G BIG CORE,Pallets,1320,1320,4519053136,
65102490,LIFEBUOY 72GM STIFFENER,Pallets,960,960,4519053136,
67533572,LIFEBUOY 72G OUTER,Bundles,11,11,4519053136,
65103065,LUX/LIFEBUOY WHITE SELFADHESIVE TAPE,Carton,6,6,4519053136,
67533568,LIFEBUOY 146G OUTER,Bundles,0.6,0.6,4519053136,
