Material Code,,Unit,Quantity,Weight,PO Number,IBD Number
67829384,FRAGRANCE GREEN TROPICANA BV,Drums,65.5,65.5,4520731841,
67120379,GUAR HYDROXYPROPYLTRIMONIUM CHLRIDE 93%,Bags,100,100,4520731841,
67540795,FRAG AVADA WOOD EA,Drums,30,30,4520731841,
67860510,WHITE RUBY 1008AF,Drums,70,70,4520731841,
65105438,PERFUME SATURNE P,Drums,180,180,4520731841,
67516544,COSMENYL BLACK C-IN IPBC+PE A01,Cans,17.2,17.2,4520731841,
65105431,CLIMBAZOLE PK,Bags,1,1,4520731841,
65105439,DC 949 (35%),Drums,200,200,4520731841,
65101783,D-PANTHENOL,Cans,1,1,4520731841,
65102056,EUROCERT BRILLIANT BLUEFCF (312507L05),Bags,16,16,4520731841,
20267123,ALMOND OIL 659831 (SWEET ALMOND OIL),Cans,1.1,1.1,4520731841,
21007486,ARGAN OIL-PK,Cans,0.1,0.1,4520731841,
65107547,GLUCONOLACTONE,Bags,50,50,4520731841,
21005473,CAMELLIA OIL,Cans,0.1,0.1,4520731841,
21059570,JOJOBA SEED OIL,Cans,0.1,0.1,4520731841,
65101749,EXTRAPONE AMLA(AMALKI) FRUIT GW 139680,Cans,2,2,4520731841,
21059569,OLIVE FRUIT OIL,Cans,0.1,0.1,4520731841,
21007485,COCONUT OIL-PK,Cans,0.5,0.5,4520731841,
67894325,HYDROLYZED SOY PROTEIN 25%+ WATER,Cans,0.1,0.1,4520731841,
67012585,SLM 9810 M5,IBC Tank,950,950,4520731841,
21084201,ACRYLATES - ACULYN 28 (20%) A01,Drums,93,93,4520731841,
67528603,ACACIA CONCINNA WATER EXT DRY POWDER,Bags,2,2,4520731841,
67528951,REETA EXTRACT POWDER,Bags,2,2,4520731841,
65101857,PARSOL MCXUVINUL MC 80,Bags,0.1,0.1,4520731841,
65105439,DC 949 (35%),Drums,200,200,4520678028,
68388223,LBLD BTL SSK SHMP BLACKSHINE 6X680ML,Cartons,4.2,4.2,4520731850,
68388223,LBLD BTL SSK SHMP BLACKSHINE 6X680ML,Cartons,11.2,11.2,4520731850,
68388227,LBLD BTL SSK SHMP HAIRFALL 6X680ML,Cartons,2.8,2.8,4520731850,
68202664,LBLD BTL LB SHMP NATRLY LNG 6X650ML,Cartons,8,8,4520731850,
